NPR’s	B-ORG
team	O
of	O
local	O
reporters	O
and	O
producers	O
push	O
the	O
boundaries	O
of	O
storytelling,	O
bringing	O
context	O
and	O
humanity	O
to	O
the	O
issues	O
and	O
ideas	O
that	O
affect	O
life	O
in	O
the	O
metro	O
region,	O
Rolla,	O
Quincy	O
and	O
rural	O
areas	O
in	O
Missouri	O
and	O
Illinois.	O
Reflecting	O
the	O
voices	O
of	O
the	O
community,	O
STLPR	O
engages	O
in	O
crucial	O
conversations	O
that	O
bring	O
people	O
together.	O
With	O
award-winning	O
local	O
news	O
coverage,	O
original	O
podcasts,	O
jazz	O
and	O
classical	O
music	O
channels,	O
and	O
national	O
and	O
international	O
news	O
from	O
NPR	O
and	O
the	O
BBC,	O
STLPR	O
is	O
a	O
listener-supported	O
service	O
of	O
theUniversity	O
of	O
Missouri-St.	O
Louis.	O
